retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3138
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,8,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3748
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,762
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1372
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1982
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2592
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3202
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,9,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3812
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,826
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1436
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2046
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2656
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3266
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,10,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3876
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,173
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,1,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,783
