,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
251,"Cooper, Montevideo, Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8700236,-56.0694155,-34.8485567,-56.233298,15.17414292,1802
74,"Copacabana 6808, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8642481,-56.2077112,14.88503737,1747
85,"Copacabana 6808, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8525727,-56.2005685,14.49447755,1802
73,"Copacabana 6808, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8434359,-56.1924935,14.06871859,1747
131,"Rambla República de México, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8642481,-56.2077112,13.94830423,1363
142,"Rambla República de México, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8525727,-56.2005685,13.69574055,1473
130,"Rambla República de México, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8434359,-56.1924935,13.39640004,1473
200,"Los Nogales, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8029901,-56.1143293,-34.9153352,-56.1673733,13.37396293,1747
54,"19 de abril 1213, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8029901,-56.1143293,13.30921206,1418
69,"Copacabana 6808, Montevideo Uruguay","Galicia 1224, Montevideo Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.9002335,-56.1903221,13.25855106,1802
32,"Eulogio Caballero, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8029901,-56.1143293,13.2261494,1143
197,"Los Nogales, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8029901,-56.1143293,-34.8535167,-56.2452851,13.2261494,1198
76,"Copacabana 6808, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.901975,-56.1895067,13.2126482,1692
,,,,,,,,,,,,
68,"19 de abril 1213, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8889171,-56.1212496,12.84407212,1308
95,"Galicia 1224, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8029901,-56.1143293,12.8327436,1528
184,"Adolfo berro, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8642481,-56.2077112,-34.8700236,-56.0694155,12.66135528,1582
87,"Copacabana 6808, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8819445,-56.1812809,12.30970995,1692
67,"19 de abril 1213, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.9009529,-56.1352843,12.29485827,1363
,,,,,,,,,,,,
250,"Cooper, Montevideo, Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8700236,-56.0694155,-34.8525727,-56.2005685,12.14813769,1637
46,"Eulogio Caballero, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8889171,-56.1212496,12.00143622,1692
244,"Carlos Tellier, Montevideo, Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8889171,-56.1212496,12.00143622,1637
205,"Los Nogales, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8029901,-56.1143293,-34.8485567,-56.233298,12.00007879,1143
91,"Galicia 1224, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8941222,-56.0595102,11.97570341,1198
133,"Rambla República de México, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.901975,-56.1895067,11.91373678,1198
