,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
38,"Eulogio Caballero, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.9153352,-56.1673733,9.887445137057732,1582
39,"Eulogio Caballero, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8988864,-56.1440372,10.536543418670899,1582
40,"Eulogio Caballero, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8902774,-56.1800759,7.223432094678465,1363
41,"Eulogio Caballero, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8562398,-56.1393665,9.690864541772175,1582
42,"Eulogio Caballero, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8525727,-56.2005685,4.0907219667199035,1143
43,"Eulogio Caballero, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8485567,-56.233298,1.2266061376755404,314
44,"Eulogio Caballero, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8819445,-56.1812809,6.647886131987248,1308
45,"Eulogio Caballero, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.9009529,-56.1352843,11.350416512504975,1692
46,"Eulogio Caballero, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8889171,-56.1212496,12.001436219852733,1692
47,"19 de abril 1213, Montevideo Uruguay","Copacabana 6808, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8838262,-56.0466473,19.18277008273805,1692
48,"19 de abril 1213, Montevideo Uruguay","Galicia 1224, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.9002335,-56.1903221,8.313262736908493,1088
49,"19 de abril 1213, Montevideo Uruguay","Doctor Prudencio de Pena, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8989865,-56.1578912,10.442686083355609,1253
50,"19 de abril 1213, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8941222,-56.0595102,18.349428471834916,1473
51,"19 de abril 1213, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8938637,-56.1591115,10.030061682517571,698
52,"19 de abril 1213, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8434359,-56.1924935,5.342335214140511,924
53,"19 de abril 1213, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8642481,-56.2077112,4.52433317325392,924
54,"19 de abril 1213, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8029901,-56.1143293,13.309212055815774,1418
55,"19 de abril 1213, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.901975,-56.1895067,8.507290071317323,533
56,"19 de abril 1213, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8681349,-56.1491542,9.67089504567611,1198
57,"19 de abril 1213, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8535167,-56.2452851,1.1393320214706664,478
58,"19 de abril 1213, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8700236,-56.0694155,16.83826826449779,1582
59,"19 de abril 1213, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8542084,-56.1264252,11.435778344514484,753
60,"19 de abril 1213, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.9153352,-56.1673733,10.969208821573172,1363
61,"19 de abril 1213, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8988864,-56.1440372,11.491806696170878,1308
62,"19 de abril 1213, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8902774,-56.1800759,8.239730909467914,1088
